nohup: ignoring input
[ Info: Progress 47.5% | step 3895/8192 | elapsed 00:09:06 | remaining ≈ 00:10:03
[ Info: Progress 48.0% | step 3934/8192 | elapsed 00:09:11 | remaining ≈ 00:09:57
[ Info: Progress 48.5% | step 3973/8192 | elapsed 00:09:17 | remaining ≈ 00:09:51
[ Info: Progress 49.0% | step 4013/8192 | elapsed 00:09:22 | remaining ≈ 00:09:45
[ Info: Progress 49.5% | step 4051/8192 | elapsed 00:09:27 | remaining ≈ 00:09:40
[ Info: Progress 49.9% | step 4088/8192 | elapsed 00:09:32 | remaining ≈ 00:09:34
[ Info: Progress 50.4% | step 4125/8192 | elapsed 00:09:37 | remaining ≈ 00:09:29
[ Info: Progress 50.8% | step 4162/8192 | elapsed 00:09:42 | remaining ≈ 00:09:24
[ Info: Progress 51.3% | step 4199/8192 | elapsed 00:09:47 | remaining ≈ 00:09:19
[ Info: Progress 51.7% | step 4235/8192 | elapsed 00:09:52 | remaining ≈ 00:09:13
[ Info: Progress 52.2% | step 4274/8192 | elapsed 00:09:58 | remaining ≈ 00:09:08
[ Info: Progress 52.7% | step 4314/8192 | elapsed 00:10:03 | remaining ≈ 00:09:02
[ Info: Progress 53.1% | step 4353/8192 | elapsed 00:10:08 | remaining ≈ 00:08:56
[ Info: Progress 53.6% | step 4392/8192 | elapsed 00:10:13 | remaining ≈ 00:08:51
[ Info: Progress 54.1% | step 4432/8192 | elapsed 00:10:19 | remaining ≈ 00:08:45
[ Info: Progress 54.6% | step 4471/8192 | elapsed 00:10:24 | remaining ≈ 00:08:39
[ Info: Progress 55.1% | step 4510/8192 | elapsed 00:10:29 | remaining ≈ 00:08:34
[ Info: Progress 55.5% | step 4549/8192 | elapsed 00:10:35 | remaining ≈ 00:08:28
[ Info: Progress 56.0% | step 4588/8192 | elapsed 00:10:40 | remaining ≈ 00:08:23
[ Info: Progress 56.5% | step 4627/8192 | elapsed 00:10:45 | remaining ≈ 00:08:17
[ Info: Progress 57.0% | step 4666/8192 | elapsed 00:10:51 | remaining ≈ 00:08:12
[ Info: Progress 57.4% | step 4705/8192 | elapsed 00:10:56 | remaining ≈ 00:08:06
